case_id,original_urgency_label,reviewer_approved_label,reviewer_name_or_id,review_date,reviewer_notes,approval_status
CHALLENGE-074,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-075,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-076,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-077,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-078,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-079,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-080,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-081,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-082,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-083,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-084,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-085,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-086,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-087,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-088,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-089,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-090,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-091,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-092,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-093,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-094,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-095,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-096,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-097,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-098,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-099,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-100,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-101,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-102,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-103,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-104,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-105,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-106,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-107,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-108,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-109,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-110,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-111,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-112,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-113,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-114,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-115,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-116,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-117,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-118,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-119,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-120,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-121,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-122,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-123,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-124,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-125,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-126,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-127,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-128,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-129,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-130,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-131,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-132,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-133,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-134,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-135,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-136,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-137,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-138,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-139,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-140,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-141,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-142,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-143,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-144,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-145,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-146,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-147,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-148,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-149,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-150,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-151,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-152,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-153,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-154,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-155,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-156,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-157,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-158,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-159,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-160,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-161,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-162,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-163,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-164,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-165,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-166,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-167,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-168,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-169,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-170,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-171,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-172,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-173,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-174,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-175,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-176,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-177,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-178,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-179,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-180,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-181,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-182,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-183,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-184,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-185,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-186,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-187,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-188,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-189,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-190,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-191,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-192,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-193,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-194,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-195,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-196,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-197,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-198,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-199,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-200,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-201,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-202,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-203,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-204,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-205,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-206,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-207,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-208,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-209,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-210,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-211,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-212,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-213,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-214,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-215,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-216,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-217,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-218,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-219,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-220,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-221,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-222,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-223,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-224,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-225,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-226,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-227,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-228,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-229,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-230,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-231,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-232,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-233,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-234,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-235,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-236,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-237,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-238,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-239,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-240,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-241,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-242,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-243,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-244,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-245,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-246,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-247,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-248,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-249,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-250,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-251,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-252,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-253,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-254,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-255,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-256,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-257,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-258,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-259,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-260,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-261,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-262,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-263,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-264,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-265,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-266,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-267,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-268,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-269,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-270,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-271,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-272,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-273,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-274,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-275,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-276,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-277,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-278,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-279,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-280,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-281,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-282,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-283,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-284,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-285,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-286,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-287,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-288,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-289,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-290,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-291,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-292,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-293,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-294,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-295,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-296,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-297,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-298,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-299,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-300,GREY,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
